City,country,ancient name,"latitude, longitude"
Argenton-sur-Creuse,France,Argentomagus,"46.58997, 1.51981"
Argenton-sur-Creuse,France,Argentomagus,"46.58997, 1.51981"
Argenton-sur-Creuse,France,Argentomagus,"46.58997, 1.51981"
S.-Marcel,France,Argentomagus,"46.58997, 1.51981"
S.-Marcel,France,Argentomagus,"46.58997, 1.51981"
S.-Marcel,France,Argentomagus,"46.58997, 1.51981"
S.-Marcel,France,Argentomagus,"46.58997, 1.51981"
S.-Marcel,France,Argentomagus,"46.58997, 1.51981"
Antras,France,Ausci,"43.6624918079, 0.519026802283"
Antras,France,Ausci,"43.6624918079, 0.519026802283"
Antras,France,Ausci,"43.6624918079, 0.519026802283"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bourges,France,Avaricum,"47.082535, 2.3978655"
Bordeaux,France,Burdigala,"44.837205, -0.576533"
Bordeaux,France,Burdigala,"44.837205, -0.576533"
Bordeaux,France,Burdigala,"44.837205, -0.576533"
Bordeaux,France,Burdigala,"44.837205, -0.576533"
Bordeaux,France,Burdigala,"44.837205, -0.576533"
Genouilly,France,Genoliacum,
Genouilly,France,Genoliacum,
Genouilly,France,Genoliacum,
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
Poitiers,France,Limonum Pictonum,"46.5836465, 0.3459905"
S. Bertrand de Comminges,France,Lugdunum Convenarum,"43.0270135, 0.5722425"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Saintes,France,Mediolanum Santonum,"45.744175, -0.633389"
Barzan,France,Tamnum,"45.5352683434, -0.878453104052"
Cenon,France,,
Cenon,France,,
Cenon,France,,
Aulnay,France,,
Aulnay,France,,
Aulnay,France,,
Baugy,France,,
Baugy,France,,
Baugy,France,,
Flavigny,France,,
Trouy,France,,
Auxey-Duresses,France,,
Chauvigny,France,,
Chauvigny,France,,
Chauvigny,France,,
Chauvigny,France,,
Chauvigny,France,,
Chauvigny,France,,
Poitiers,France,,
Poitiers,France,,
Poitiers,France,,
Poitiers,France,,
Aulnay,France,,
Aulnay,France,,
Aulnay,France,,
Aulnay,France,,
